Herkunftsort,URI
Hof,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Waldsberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Uznach (Gebiet) SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kempten,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Schirmensee,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wald,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Fluh,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Lipperschwendi,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rheineck SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Laupetswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Tiefenbach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Dürstelen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Blacketen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wappenswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Aatal,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Allenberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Steinenbach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Gupf,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hinterburg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wolfensberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hörnen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hatterswil TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Riet,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hittnau,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hörnentobel,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Maur,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Mühlekram,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rüetswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Steinshof,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Landsiedlen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wilhof (Russikon),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wetzikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bad,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Stöcken,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Männedorf,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Pirg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hischwil (Wald),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Pfäffikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Burstel (Fischenthal),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hinwil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wirzental,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Robenhausen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Ottikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Robank,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Mönchaltorf,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wirzwil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wernetshausen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hörnli,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Mosnang SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Stockach (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Seewadel,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Aa (Wald),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Ringwil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Itzikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rietwies,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Orn,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Stäfa,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hadlikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Fuchsloch,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Trachselberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Unterhittnau,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Schaugen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hottingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bellikon AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Binz (Maur),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Dürnten,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Moos,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Uerikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Eichen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Laupen (Wald),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Ferrach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Mettlen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Matten,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Haltberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rümlang,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Nesslau SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Weier,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Fägswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Niederholz (Wald),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bubikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Eschenmatt,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Lenzburg AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Glarus,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bernegg (Hinwil),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Stallikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Sennhof,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Madetswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Weisslingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rümikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Russikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Freudwil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wilhof,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Fehraltorf,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
