Männervorname,URI
Titus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00196
Bali,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00197
Eberhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00198
Anstatt,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00199
Anstett,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00200
Röuchli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00201
Ulimann,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00202
Hans Albrecht,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00203
Pauli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00204
Urban,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00205
Gotthard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00206
Hans Joder,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00207
Rizi,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00208
Durst,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00209
Exuperantius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00210
Hansenmann,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00211
Ernst Heinrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00212
Johann Kaspar,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00213
Beat Rudolf,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00214
Hans Bartholomäus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00215
Josabe,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00216
Suiderius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00217
Cyriax,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00218
Karli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00219
Paulus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00220
Poley,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00221
Rochus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00222
Egolf,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00223
Hug,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00224
Pantaleon,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00225
Gregorius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00226
Grossgeorg,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00227
Aeberli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00228
Baptista,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00229
Fintan,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00230
Vinzenz,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00231
Onophrion,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00232
