Nachname,URI
Strauss,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Strauss
Greuter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Greuter
Brühwiler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bruehwiler
Schuler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schuler
Furrer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Furrer
Schellenberg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schellenberg
Wipf,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wipf
Scholler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Scholler
Schnetzler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schnetzler
Siber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Siber
Häsli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Haesli
Zinninger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zinninger
Falk,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Falk
Leemann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Leemann
Hoppler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hoppler
Herzog,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Herzog
Klingler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Klingler
Senft,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Senft
Lieber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Lieber
Biefer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Biefer
Richenwiler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Richenwiler
Steiger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Steiger
Rietmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rietmann
Reinhart,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Reinhart
Berner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Berner
Nägeli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Naegeli
Erni,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Erni
Bruchli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bruchli
