Frauenvorname,URI
Violanda,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00165
Diamant,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00166
Eva Felicitas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00167
Anna Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00168
Maria Kleophea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00169
Aurelia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00170
Emerentia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00171
Walbert,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00172
Anna Maria Theresia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00173
Katharina Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00174
Anna Regula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00175
Margaretha Felicitas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00176
Jeanne Marguerite,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00177
Barbara Agnes,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00178
Eva Rosina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00179
Maria Ursula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00180
Maria Agnes,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00181
Anna Maria Agnes,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00182
Susanna Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00183
Maria Salome,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00184
Anna Katharina Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00185
Anna Theresia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00186
Susanna Margaretha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00187
Maria Katharina Fr.,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00188
Dominica,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00189
Arnolda Lukretia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00190
Barbara Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00191
Johanna Margaretha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00192
Katharina Sophia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00193
Anna Maria Magdalena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00194
Margaretha Ottilia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00195
Friederike Sophia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00196
Eva Maria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00197
Mariana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00198
Salomena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00199
Barbara Verena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00200
Maria Margaretha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00201
Anna Regina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00202
Henriette,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00203
Maria Anna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00204
Susanna Katharina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00205
Eleonora,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00206
Johanna Helena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00207
Elisabeth Magdalena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00208
Margaretha Sophie,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00209
Anna Maria Emerentiana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00210
Augustine,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00211
Kleophea Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00212
Ursula Maria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00213
Anna Christina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00214
Christina Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00215
Barbara Katharina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00216
Maria Dorothea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00217
Christina Dorothea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00218
Anna Maria Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00219
Johanna Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00220
Augusta,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00221
Marianne Gertrud,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00222
Johanna Maria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00223
Susanna Sara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00224
Zedonia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00225
Louise Charlotte,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00226
Angelika,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00227
Maria Susanna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00228
Charlotte,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00229
Elisabeth Charlotte,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00230
Anna Maria Dorothea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00231
Proxbra,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00232
Elisabeth Gerhardina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00233
Maria Sophia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00234
Louise,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00235
Maria Katharina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00236
Maria Sara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00237
Anna Maria Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00238
Katharina Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00239
Ab…,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00240
Jeanne Judith,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00241
Marianna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00242
Johanna Juliana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00243
Maria Esther,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00244
Pankratia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00245
Marianne,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00246
Susette,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00247
Agnes Dorothea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00248
Rosina Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00249
Theresia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00250
Susanna Maria Magdalena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00251
Klara Susanna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00252
Wilhelmine Maria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00253
Susanna Magdalena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00254
Magdalena Margaretha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00255
Alice,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00256
Johanna Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00257
Barbara Franziska,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00258
Bartha Benjamina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00259
Maria Katharina Juliana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00260
Ursula Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00261
Jeanne Marie,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00262
Anna Rahel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00263
Martha Elisa,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00264
Juliane,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00265
Antonia Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00266
Marianne Esther,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00267
Christiana Maria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00268
Jeannette,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00269
Mariana Agnes,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00270
Margaretha Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00271
Antoinette,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00272
Anna Rosina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00273
Johanna Ludovika,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00274
Maria Katharina Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00275
Barbara Margaretha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00276
Marianna Katharina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00277
Karolina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00278
Helena J.,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00279
Marianne Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00280
Elisabeth Josua,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00281
Jeanne Andriane,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00282
Karolina Dorothea Augusta,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00283
Eva Magdalena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00284
Jeanne Frédérique Christine,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00285
Marguerite,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00286
Margaretha Judith,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00287
Kunigunda,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00288
Johanna Christiane,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00289
Esther Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00290
Emerentiana Regula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00291
Jeanne Françoise,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00292
Maria Verena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00293
Susanna Ulrike,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00294
Anna Maria Katharina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00295
Anna Gertrud,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00296
Hortensia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00297
Maria Judith,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00298
Maximiliane,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00299
Anna Küngolt,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00300
Elisabeth Dorothea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00301
Anna Ottilia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00302
Christina Esther,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00303
Katharina Magdalena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00304
Anna Helena,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00305
Barbara Judith,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00306
Susanna Judith,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00307
Regula Elisabeth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00308
Felicitas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00309
Barbara Rosina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00310
Sophia Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00311
Ursula Hortensia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00312
Wolferdina Henriette Cornelia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00313
Anna Africana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00314
Maria Margaretha Juliana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00315
Johanna Dorothea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00316
