Nachname,URI
Abrecht,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Abrecht
Wisler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wisler
Widmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Widmann
Böhm,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Boehm
Lütger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Luetger
Böhi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Boehi
Labhart,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Labhart
Frehner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Frehner
Besoit,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Besoit
Gottlieb,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gottlieb
Roque,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Roque
Schoudt,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schoudt
Ohran,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ohran
Klotz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Klotz
Seidel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Seidel
Hauffe,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hauffe
Wintsch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wintsch
Keusenhof,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Keusenhof
Augstler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Augstler
Hürsch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Huersch
Plon,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Plon
Hahn,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hahn
Gibeleisen,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gibeleisen
Huber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Huber
Zesiger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zesiger
Asper,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Asper
Königsholzer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Koenigsholzer
Liechtli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Liechtli
Liner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Liner
