Männervorname,URI
Fortunat,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Fortunat
Kleinjakob,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Kleinjakob
Imbert Ernst,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Imbert_Ernst
Venturin,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Venturin
Ennius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ennius
Denis,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Denis
Ernst Heinrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ernst_Heinrich
Johann David,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_David
Ezechias,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ezechias
Hans Ulrich.,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Ulrich
Eustachius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Eustachius
Gangwolf,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Gangwolf
Jean Rodolphe,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jean_Rodolphe
Johann Peter,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Peter
Petronius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Petronius
Hermann Ulrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hermann_Ulrich
Heinrich Beat Leonhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Heinrich_Beat_Leonhard
Jean Joseph,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jean_Joseph
Elias,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Elias
Hermann,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hermann
Franz Michael,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Franz_Michael
Ludwig,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ludwig
Benjamin,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Benjamin
Urban,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Urban
Veit,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Veit
Cosman,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Cosman
Stefan,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Stefan
Thaddäus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Thaddaeus
Esajas,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Esajas
Hans Jakob,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Jakob
Horatius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Horatius
Johann Reinhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Reinhard
Friedrich August,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Friedrich_August
Beat Ludwig,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Beat_Ludwig
Jungulrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jungulrich
Severin,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Severin
Jodokus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jodokus
Michael,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Michael
Ignatius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ignatius
Rupolt,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Rupolt
Johann Karl Friedrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Karl_Friedrich
Adam,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Adam
Hansmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hansmann
Hans Jonas,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Jonas
Gerhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Gerhard
Emanuel Franz Samuel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Emanuel_Franz_Samuel
Rupolz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Rupolz
Ziliox,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ziliox
Hans Oswald,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Oswald
Cornel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Cornel
Kleinfelix,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Kleinfelix
Moritz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Moritz
Brandolf,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Brandolf
Vitus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Vitus
Heinrich Kaspar,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Heinrich_Kaspar
Vinzenz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Vinzenz
Oswald,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Oswald
Abel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Abel
Hans Joder,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Joder
Beat Rudolf,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Beat_Rudolf
Poli,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Poli
Johann Gabriel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Gabriel
Marcus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Marcus
Lux,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Lux
Gregorius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Gregorius
Rennwart,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Rennwart
Antoine,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Antoine
Hans Werner,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Werner
Jean Jacques,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jean_Jacques
Hans Peter,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Peter
Friedrich Daniel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Friedrich_Daniel
Hans Renet,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Renet
Johannes Heinrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johannes_Heinrich
Hans Simon,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Simon
Jos,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jos
Viktor,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Viktor
Johann Bernhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Bernhard
Samuel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Samuel
Kleinmarx,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Kleinmarx
Alban,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Alban
Bläsi,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Blaesi
Job,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Job
Kaspar Heinrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Kaspar_Heinrich
Hansemann,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hansemann
Hugues,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hugues
Karl Ludwig Heinrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Karl_Ludwig_Heinrich
Eberhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Eberhard
David Philipp,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_David_Philipp
Johann Michael,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Michael
Juda,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Juda
Heinz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Heinz
Theodor,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Theodor
Stoffel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Stoffel
Johann Benedikt,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Benedikt
Johann Philipp,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Philipp
